Cr,Mo,Nb,Ta,V,W,FCC_L12,BCC_B2
0.05,0.3,0.05,0.15,0.2,0.25,0,0.94397057
0.05,0.15,0.15,0.05,0.25,0.35,0,0.94396182
0.05,0.15,0.35,0.2,0.1,0.15,0,0.94361303
0.05,0.2,0.15,0.15,0.2,0.25,0,0.9433761
0.05,0.05,0.05,0.3,0.25,0.3,0,0.94316818
0.05,0.25,0.15,0.05,0.2,0.3,0,0.94313012
0.05,0.35,0.25,0.25,0.05,0.05,0,0.94302734
0.05,0.15,0.25,0.05,0.2,0.3,0,0.942911
0.05,0.25,0.1,0.15,0.2,0.25,0,0.94286143
0.05,0.35,0.15,0.05,0.15,0.25,0,0.94273241
0.05,0.05,0.1,0.3,0.25,0.25,0,0.94264319
0.05,0.3,0.3,0.2,0.05,0.1,0,0.94261264
0.05,0.15,0.15,0.2,0.2,0.25,0,0.94260537
0.05,0.15,0.05,0.2,0.25,0.3,0,0.94225577
0.05,0.2,0.25,0.25,0.1,0.15,0,0.94222593
0.05,0.1,0.35,0.2,0.1,0.2,0,0.94213682
0.05,0.2,0.2,0.05,0.2,0.3,0,0.94205672
0.05,0.1,0.1,0.3,0.2,0.25,0,0.94177059
0.05,0.1,0.05,0.25,0.25,0.3,0,0.94175035
0.05,0.3,0.35,0.2,0.05,0.05,0,0.94175013
0.05,0.05,0.2,0.1,0.25,0.35,0,0.9415728
0.05,0.15,0.35,0.25,0.1,0.1,0,0.94146617
0.05,0.35,0.1,0.15,0.15,0.2,0,0.94145162
0.05,0.3,0.25,0.25,0.05,0.1,0,0.94145033
0.05,0.15,0.3,0.25,0.1,0.15,0,0.94104648
0.05,0.05,0.25,0.15,0.2,0.3,0,0.94087288
0.05,0.05,0.35,0.2,0.1,0.25,0,0.94084931
0.05,0.05,0.2,0.25,0.2,0.25,0,0.94070152
0.05,0.3,0.15,0.15,0.15,0.2,0,0.94067352
0.05,0.1,0.35,0.25,0.1,0.15,0,0.94058704
0.05,0.35,0.2,0.3,0.05,0.05,0,0.94052205
0.05,0.2,0.1,0.2,0.2,0.25,0,0.94042034
0.05,0.25,0.35,0.2,0.05,0.1,0,0.94035557
0.05,0.3,0.2,0.05,0.15,0.25,0,0.94024005
0.05,0.3,0.3,0.25,0.05,0.05,0,0.94020933
0.05,0.15,0.1,0.25,0.2,0.25,0,0.94018
0.05,0.1,0.3,0.25,0.1,0.2,0,0.94011081
0.05,0.1,0.25,0.1,0.2,0.3,0,0.94008415
0.05,0.1,0.05,0.35,0.2,0.25,0,0.93980215
