Cr,Mo,Nb,Ta,V,W,FCC_L12,BCC_B2
0.1,0.2,0.15,0.25,0.05,0.25,0,0.82202708
0.1,0.05,0.05,0.3,0.15,0.35,0,0.82199849
0.1,0.15,0.1,0.15,0.15,0.35,0,0.82194119
0.1,0.2,0.3,0.05,0.05,0.3,0,0.82186973
0.1,0.05,0.3,0.3,0.15,0.1,0,0.82184632
0.1,0.1,0.25,0.2,0.05,0.3,0,0.82164539
0.1,0.1,0.05,0.35,0.1,0.3,0,0.82153109
0.1,0.15,0.3,0.1,0.05,0.3,0,0.82137832
0.1,0.05,0.35,0.1,0.05,0.35,0,0.82130371
0.1,0.1,0.25,0.1,0.1,0.35,0,0.82127749
0.1,0.3,0.15,0.15,0.05,0.25,0,0.82119676
0.1,0.05,0.2,0.2,0.1,0.35,0,0.82109275
0.1,0.35,0.1,0.05,0.3,0.1,0,0.82097013
0.1,0.2,0.05,0.15,0.15,0.35,0,0.82092738
0.1,0.35,0.15,0.05,0.05,0.3,0,0.82089871
0.1,0.25,0.15,0.2,0.05,0.25,0,0.82088028
0.1,0.15,0.1,0.25,0.1,0.3,0,0.82082939
0.1,0.2,0.1,0.3,0.05,0.25,0,0.82076729
0.1,0.25,0.15,0.05,0.1,0.35,0,0.82075306
0.1,0.25,0.1,0.15,0.1,0.3,0,0.82075182
0.1,0.2,0.2,0.05,0.1,0.35,0,0.82072948
0.1,0.35,0.1,0.15,0.05,0.25,0,0.82069771
0.1,0.3,0.05,0.15,0.1,0.3,0,0.8206092
0.1,0.1,0.2,0.25,0.05,0.3,0,0.82028211
0.1,0.15,0.1,0.1,0.35,0.2,0,0.82027842
0.1,0.25,0.25,0.05,0.05,0.3,0,0.820268
0.1,0.1,0.05,0.25,0.15,0.35,0,0.82011615
0.1,0.1,0.35,0.05,0.05,0.35,0,0.81999499
0.1,0.2,0.1,0.2,0.1,0.3,0,0.81998411
0.1,0.05,0.2,0.3,0.2,0.15,0,0.81995868
0.1,0.3,0.2,0.05,0.05,0.3,0,0.81991485
0.1,0.15,0.05,0.2,0.15,0.35,0,0.81964586
0.1,0.2,0.05,0.35,0.05,0.25,0,0.81959893
0.1,0.25,0.1,0.05,0.35,0.15,0,0.81952472
0.1,0.05,0.15,0.25,0.1,0.35,0,0.81942964
0.15,0.35,0.05,0.05,0.2,0.2,0,0.81937403
0.1,0.25,0.1,0.25,0.05,0.25,0,0.8193473
0.1,0.15,0.25,0.15,0.05,0.3,0,0.8193331
0.1,0.15,0.05,0.3,0.1,0.3,0,0.81924291
0.1,0.05,0.3,0.15,0.05,0.35,0,0.81922243
0.1,0.3,0.1,0.2,0.05,0.25,0,0.81920272
0.1,0.1,0.15,0.3,0.05,0.3,0,0.81908569
0.1,0.1,0.25,0.05,0.3,0.2,0,0.81904903
0.1,0.1,0.2,0.15,0.1,0.35,0,0.81893188
0.1,0.2,0.25,0.1,0.05,0.3,0,0.81852836
0.1,0.25,0.05,0.2,0.1,0.3,0,0.81846595
0.1,0.15,0.2,0.1,0.1,0.35,0,0.81841247
0.1,0.35,0.05,0.2,0.05,0.25,0,0.81837341
0.1,0.2,0.05,0.25,0.1,0.3,0,0.81815793
0.1,0.1,0.1,0.35,0.05,0.3,0,0.81799409
0.1,0.25,0.05,0.3,0.05,0.25,0,0.81795326
0.1,0.05,0.1,0.3,0.1,0.35,0,0.8179234
0.1,0.15,0.2,0.2,0.05,0.3,0,0.81776088
0.1,0.05,0.25,0.2,0.05,0.35,0,0.81761801
0.1,0.3,0.05,0.1,0.1,0.35,0,0.81750776
0.1,0.3,0.05,0.25,0.05,0.25,0,0.81746009
0.1,0.1,0.2,0.35,0.15,0.1,0,0.81744103
0.1,0.05,0.35,0.3,0.15,0.05,0,0.81725201
0.1,0.1,0.15,0.2,0.1,0.35,0,0.81709716
0.1,0.2,0.15,0.35,0.15,0.05,0,0.81707187
0.1,0.15,0.05,0.15,0.35,0.2,0,0.8169525
0.1,0.1,0.3,0.1,0.05,0.35,0,0.81688533
0.1,0.2,0.15,0.1,0.1,0.35,0,0.816829
0.1,0.25,0.2,0.1,0.05,0.3,0,0.81678154
0.1,0.15,0.3,0.05,0.05,0.35,0,0.81670875
0.1,0.05,0.25,0.35,0.15,0.1,0,0.81662119
0.1,0.35,0.1,0.1,0.05,0.3,0,0.81652863
0.1,0.05,0.05,0.35,0.1,0.35,0,0.81650072
0.1,0.25,0.1,0.1,0.1,0.35,0,0.81649893
0.1,0.2,0.2,0.15,0.05,0.3,0,0.81648066
0.1,0.15,0.15,0.25,0.05,0.3,0,0.8164297
0.1,0.05,0.2,0.25,0.05,0.35,0,0.81626682
0.1,0.3,0.15,0.1,0.05,0.3,0,0.81609969
0.1,0.15,0.15,0.15,0.1,0.35,0,0.81609912
0.1,0.35,0.1,0.05,0.05,0.35,0,0.81585134
0.1,0.25,0.15,0.05,0.3,0.15,0,0.81568259
0.1,0.1,0.1,0.25,0.1,0.35,0,0.81550578
0.1,0.15,0.1,0.3,0.05,0.3,0,0.81523607
0.1,0.05,0.15,0.3,0.05,0.35,0,0.81506885
0.1,0.1,0.25,0.15,0.05,0.35,0,0.81497322
0.1,0.2,0.15,0.2,0.05,0.3,0,0.81488199
0.1,0.2,0.25,0.05,0.05,0.35,0,0.81466123
0.1,0.25,0.15,0.15,0.05,0.3,0,0.81461582
0.1,0.25,0.1,0.1,0.3,0.15,0,0.81452485
0.1,0.15,0.25,0.3,0.15,0.05,0,0.81445672
0.1,0.2,0.1,0.15,0.1,0.35,0,0.81441251
0.15,0.25,0.05,0.05,0.25,0.25,0,0.81438811
0.1,0.15,0.1,0.2,0.1,0.35,0,0.8142672
0.1,0.3,0.15,0.05,0.05,0.35,0,0.81413206
0.1,0.15,0.05,0.35,0.05,0.3,0,0.81412129
0.1,0.1,0.05,0.3,0.1,0.35,0,0.81403805
0.1,0.05,0.1,0.35,0.05,0.35,0,0.81396751
0.1,0.25,0.05,0.15,0.1,0.35,0,0.81382951
0.1,0.25,0.2,0.05,0.05,0.35,0,0.8137894
0.1,0.05,0.25,0.05,0.35,0.2,0,0.81373554
0.1,0.35,0.05,0.15,0.05,0.3,0,0.81371535
0.1,0.15,0.25,0.1,0.05,0.35,0,0.81370071
0.1,0.3,0.1,0.15,0.05,0.3,0,0.81368866
0.1,0.2,0.1,0.25,0.05,0.3,0,0.8135023
0.1,0.1,0.2,0.2,0.05,0.35,0,0.81348749
0.1,0.05,0.2,0.1,0.35,0.2,0,0.81330328
0.1,0.05,0.15,0.35,0.2,0.15,0,0.8131781
0.1,0.1,0.2,0.05,0.35,0.2,0,0.81300341
0.1,0.25,0.1,0.2,0.05,0.3,0,0.81289629
0.1,0.15,0.3,0.05,0.25,0.15,0,0.8126806
0.1,0.15,0.05,0.25,0.1,0.35,0,0.81265315
0.1,0.2,0.05,0.2,0.1,0.35,0,0.81247378
0.1,0.2,0.05,0.3,0.05,0.3,0,0.8122395
0.1,0.1,0.3,0.3,0.15,0.05,0,0.81223144
0.1,0.1,0.15,0.1,0.35,0.2,0,0.81222195
0.1,0.1,0.15,0.25,0.05,0.35,0,0.81221809
0.1,0.1,0.1,0.15,0.35,0.2,0,0.81190245
0.1,0.15,0.2,0.15,0.05,0.35,0,0.81184928
0.1,0.3,0.05,0.2,0.05,0.3,0,0.81174373
0.1,0.2,0.2,0.1,0.05,0.35,0,0.81160715
0.1,0.35,0.05,0.1,0.05,0.35,0,0.81157602
0.1,0.25,0.05,0.25,0.05,0.3,0,0.81138604
0.1,0.05,0.3,0.35,0.15,0.05,0,0.81111267
0.1,0.1,0.1,0.3,0.05,0.35,0,0.81107201
0.1,0.35,0.05,0.1,0.3,0.1,0,0.81083578
0.1,0.25,0.15,0.1,0.05,0.35,0,0.81053418
0.1,0.3,0.1,0.1,0.05,0.35,0,0.81049018
0.1,0.15,0.15,0.2,0.05,0.35,0,0.81039452
0.1,0.1,0.05,0.35,0.05,0.35,0,0.80999702
0.1,0.2,0.15,0.15,0.05,0.35,0,0.80971414
0.1,0.15,0.2,0.35,0.15,0.05,0,0.80933592
0.1,0.15,0.1,0.25,0.05,0.35,0,0.80913176
0.1,0.25,0.1,0.15,0.05,0.35,0,0.80849252
0.1,0.05,0.25,0.3,0.2,0.1,0,0.80845875
0.1,0.2,0.1,0.2,0.05,0.35,0,0.80820715
0.1,0.3,0.05,0.15,0.05,0.35,0,0.80817229
0.15,0.15,0.05,0.05,0.3,0.3,0,0.80813172
0.1,0.15,0.05,0.3,0.05,0.35,0,0.80797118
0.1,0.3,0.2,0.05,0.25,0.1,0,0.80775374
0.1,0.1,0.25,0.35,0.15,0.05,0,0.80694213
0.1,0.2,0.05,0.25,0.05,0.35,0,0.80687918
0.1,0.25,0.05,0.2,0.05,0.35,0,0.80684561
0.1,0.05,0.35,0.05,0.3,0.15,0,0.80637079
0.1,0.1,0.15,0.35,0.2,0.1,0,0.80484907
0.1,0.25,0.05,0.1,0.35,0.15,0,0.80465017
0.1,0.05,0.1,0.35,0.25,0.15,0,0.80461169
0.1,0.2,0.15,0.1,0.3,0.15,0,0.80295729
0.1,0.35,0.05,0.2,0.25,0.05,0,0.80209278
0.1,0.15,0.15,0.15,0.3,0.15,0,0.80202523
0.1,0.2,0.2,0.05,0.3,0.15,0,0.80122227
0.15,0.05,0.05,0.05,0.35,0.35,0,0.80113944
0.1,0.2,0.15,0.25,0.25,0.05,0,0.80055816
0.1,0.1,0.25,0.1,0.3,0.15,0,0.80022881
0.1,0.05,0.2,0.35,0.2,0.1,0,0.80010286
0.1,0.05,0.3,0.3,0.2,0.05,0,0.79988405
0.1,0.05,0.05,0.35,0.3,0.15,0,0.7994502
0.1,0.2,0.25,0.1,0.25,0.1,0,0.7988171
0.1,0.35,0.1,0.15,0.25,0.05,0,0.79861848
0.1,0.15,0.2,0.1,0.3,0.15,0,0.79857049
0.1,0.25,0.25,0.05,0.25,0.1,0,0.79846431
0.1,0.05,0.2,0.3,0.25,0.1,0,0.7981334
0.1,0.1,0.3,0.05,0.3,0.15,0,0.79733755
0.1,0.1,0.25,0.3,0.2,0.05,0,0.796759
0.1,0.15,0.25,0.05,0.3,0.15,0,0.79565649
0.1,0.35,0.15,0.1,0.25,0.05,0,0.7953236
0.1,0.15,0.15,0.35,0.2,0.05,0,0.79473094
0.1,0.15,0.35,0.05,0.25,0.1,0,0.79468812
0.1,0.2,0.3,0.05,0.25,0.1,0,0.79424746
0.1,0.05,0.2,0.15,0.35,0.15,0,0.79303572
0.15,0.3,0.05,0.05,0.2,0.25,0,0.79236318
0.1,0.35,0.2,0.05,0.25,0.05,0,0.79225541
0.1,0.3,0.15,0.15,0.25,0.05,0,0.79176237
0.15,0.05,0.35,0.15,0.1,0.2,0,0.79139894
0.1,0.05,0.25,0.1,0.35,0.15,0,0.79120203
0.1,0.3,0.15,0.05,0.3,0.1,0,0.79100835
0.1,0.05,0.3,0.05,0.35,0.15,0,0.79072281
0.15,0.1,0.35,0.2,0.1,0.1,0,0.79064219
0.1,0.2,0.15,0.05,0.35,0.15,0,0.79051999
0.15,0.1,0.3,0.2,0.1,0.15,0,0.79013086
0.1,0.3,0.1,0.1,0.3,0.1,0,0.78991859
0.15,0.2,0.35,0.15,0.05,0.1,0,0.78968773
0.15,0.35,0.1,0.05,0.15,0.2,0,0.7896108
0.1,0.05,0.25,0.35,0.2,0.05,0,0.7895734
0.15,0.05,0.35,0.2,0.1,0.15,0,0.78940518
0.15,0.25,0.3,0.2,0.05,0.05,0,0.7890378
0.1,0.3,0.05,0.15,0.3,0.1,0,0.78882433
0.15,0.05,0.3,0.2,0.1,0.2,0,0.78872927
0.15,0.2,0.3,0.2,0.05,0.1,0,0.78761903
0.1,0.1,0.2,0.35,0.2,0.05,0,0.78727137
0.15,0.05,0.35,0.25,0.1,0.1,0,0.78716529
0.15,0.2,0.35,0.2,0.05,0.05,0,0.78697136
0.1,0.3,0.2,0.1,0.25,0.05,0,0.78670157
0.15,0.2,0.05,0.05,0.25,0.3,0,0.78668271
0.15,0.25,0.1,0.05,0.2,0.25,0,0.78665095
0.1,0.2,0.1,0.1,0.35,0.15,0,0.78618209
0.15,0.15,0.35,0.2,0.05,0.1,0,0.7859772
0.15,0.25,0.25,0.25,0.05,0.05,0,0.78545966
0.15,0.1,0.35,0.2,0.05,0.15,0,0.78514675
0.1,0.25,0.05,0.2,0.3,0.1,0,0.78506418
0.15,0.05,0.3,0.25,0.1,0.15,0,0.78485533
0.15,0.2,0.25,0.25,0.05,0.1,0,0.7846402
0.15,0.05,0.35,0.2,0.05,0.2,0,0.78445291
0.1,0.05,0.15,0.35,0.25,0.1,0,0.78436546
0.15,0.15,0.1,0.05,0.25,0.3,0,0.7842951
0.15,0.2,0.3,0.25,0.05,0.05,0,0.78409807
0.1,0.2,0.1,0.2,0.3,0.1,0,0.78394965
0.15,0.2,0.25,0.2,0.1,0.1,0,0.78394163
0.15,0.15,0.35,0.25,0.05,0.05,0,0.78387046
0.1,0.05,0.25,0.3,0.25,0.05,0,0.78377157
0.15,0.15,0.3,0.25,0.05,0.1,0,0.78360976
0.15,0.1,0.35,0.25,0.05,0.1,0,0.78355755
0.1,0.1,0.15,0.15,0.35,0.15,0,0.78347406
0.15,0.15,0.35,0.15,0.05,0.15,0,0.78346855
0.15,0.05,0.35,0.25,0.05,0.15,0,0.78327886
0.15,0.05,0.25,0.25,0.1,0.2,0,0.7832716
0.15,0.1,0.3,0.25,0.05,0.15,0,0.78317904
0.15,0.05,0.3,0.25,0.05,0.2,0,0.78280649
0.15,0.05,0.1,0.05,0.3,0.35,0,0.78225429
0.15,0.05,0.35,0.3,0.05,0.1,0,0.78220928
0.15,0.1,0.25,0.25,0.1,0.15,0,0.78214744
0.15,0.25,0.25,0.2,0.05,0.1,0,0.78198942
0.1,0.3,0.25,0.05,0.25,0.05,0,0.78190382
0.1,0.25,0.25,0.1,0.25,0.05,0,0.78177891
0.15,0.1,0.35,0.3,0.05,0.05,0,0.78173983
0.1,0.25,0.1,0.15,0.3,0.1,0,0.78165031
0.15,0.15,0.3,0.2,0.05,0.15,0,0.78156659
0.1,0.2,0.05,0.15,0.35,0.15,0,0.78139761
0.1,0.1,0.2,0.1,0.35,0.15,0,0.78126082
0.15,0.05,0.35,0.35,0.05,0.05,0,0.78111104
0.15,0.3,0.15,0.3,0.05,0.05,0,0.78107704
0.15,0.05,0.3,0.3,0.05,0.15,0,0.78100329
0.1,0.15,0.05,0.2,0.35,0.15,0,0.78084798
0.15,0.1,0.05,0.05,0.3,0.35,0,0.78076632
0.15,0.1,0.3,0.3,0.05,0.1,0,0.78053944
0.15,0.05,0.25,0.3,0.05,0.2,0,0.780381
0.15,0.1,0.25,0.3,0.05,0.15,0,0.78002584
0.1,0.15,0.1,0.15,0.35,0.15,0,0.77995057
0.1,0.2,0.05,0.3,0.3,0.05,0,0.77983055
0.1,0.1,0.3,0.1,0.3,0.1,0,0.77982438
0.15,0.15,0.3,0.3,0.05,0.05,0,0.7796221
0.1,0.15,0.2,0.15,0.3,0.1,0,0.77945252
0.1,0.15,0.15,0.1,0.35,0.15,0,0.77942187
0.15,0.2,0.2,0.3,0.05,0.1,0,0.77940325
0.15,0.15,0.25,0.3,0.05,0.1,0,0.77937894
0.15,0.15,0.25,0.25,0.05,0.15,0,0.77901914
0.15,0.25,0.2,0.25,0.05,0.1,0,0.77889404
0.15,0.05,0.3,0.35,0.05,0.1,0,0.77878089
0.1,0.2,0.15,0.15,0.3,0.1,0,0.77847641
0.15,0.25,0.2,0.3,0.05,0.05,0,0.77843988
0.15,0.35,0.05,0.1,0.15,0.2,0,0.77839186
0.1,0.25,0.15,0.1,0.3,0.1,0,0.7783868
0.15,0.2,0.25,0.3,0.05,0.05,0,0.77811588
0.15,0.05,0.25,0.35,0.05,0.15,0,0.77736815
0.15,0.35,0.2,0.05,0.15,0.1,0,0.77694803
0.15,0.05,0.2,0.35,0.05,0.2,0,0.77693375
0.15,0.2,0.2,0.25,0.1,0.1,0,0.77682178
0.15,0.1,0.3,0.35,0.05,0.05,0,0.77612746
0.1,0.25,0.3,0.05,0.25,0.05,0,0.776078
0.15,0.1,0.2,0.35,0.05,0.15,0,0.77534878
0.1,0.25,0.2,0.05,0.3,0.1,0,0.77531997
0.15,0.25,0.05,0.1,0.2,0.25,0,0.77523504
0.15,0.1,0.25,0.35,0.05,0.1,0,0.77514216
0.1,0.1,0.35,0.05,0.3,0.1,0,0.77505465
0.15,0.1,0.3,0.25,0.1,0.1,0,0.77503202
0.15,0.25,0.2,0.25,0.1,0.05,0,0.77485418
0.15,0.15,0.2,0.3,0.05,0.15,0,0.77474352
0.15,0.35,0.1,0.3,0.05,0.05,0,0.77461151
0.15,0.3,0.1,0.35,0.05,0.05,0,0.77432296
0.1,0.2,0.35,0.05,0.25,0.05,0,0.77421325
0.15,0.35,0.05,0.05,0.15,0.25,0,0.77420456
0.1,0.15,0.25,0.1,0.3,0.1,0,0.77350399
0.15,0.1,0.25,0.2,0.1,0.2,0,0.77349508
0.15,0.15,0.05,0.1,0.25,0.3,0,0.77338759
0.15,0.25,0.15,0.3,0.05,0.1,0,0.77336164
0.1,0.05,0.25,0.15,0.35,0.1,0,0.77330408
0.15,0.2,0.15,0.35,0.05,0.1,0,0.77324568
0.1,0.2,0.2,0.1,0.3,0.1,0,0.77319972
0.15,0.15,0.2,0.35,0.05,0.1,0,0.77299425
0.15,0.05,0.05,0.1,0.3,0.35,0,0.77218802
0.15,0.1,0.35,0.15,0.05,0.2,0,0.77215474
0.15,0.35,0.05,0.35,0.05,0.05,0,0.77179239
0.1,0.2,0.1,0.25,0.3,0.05,0,0.7716795
0.15,0.35,0.1,0.15,0.1,0.15,0,0.77140984
0.15,0.15,0.25,0.35,0.05,0.05,0,0.77121402
0.15,0.35,0.2,0.15,0.05,0.1,0,0.77114229
0.15,0.3,0.15,0.25,0.05,0.1,0,0.77102888
0.15,0.25,0.15,0.35,0.05,0.05,0,0.77101053
0.15,0.1,0.3,0.2,0.05,0.2,0,0.7701702
0.15,0.2,0.3,0.15,0.05,0.15,0,0.76972457
0.15,0.2,0.2,0.35,0.05,0.05,0,0.76970785
0.15,0.15,0.15,0.35,0.05,0.15,0,0.76965141
0.15,0.35,0.15,0.2,0.05,0.1,0,0.76961611
0.1,0.05,0.1,0.35,0.3,0.1,0,0.76959824
0.15,0.1,0.05,0.15,0.25,0.3,0,0.76955299
0.1,0.05,0.3,0.1,0.35,0.1,0,0.76934409
0.15,0.3,0.05,0.15,0.15,0.2,0,0.76933202
0.15,0.25,0.05,0.05,0.2,0.3,0,0.76885458
0.15,0.25,0.1,0.35,0.05,0.1,0,0.7686594
0.1,0.1,0.15,0.35,0.25,0.05,0,0.7686565
0.15,0.35,0.1,0.25,0.05,0.1,0,0.76851961
0.1,0.2,0.25,0.05,0.3,0.1,0,0.76825063
0.15,0.3,0.1,0.3,0.05,0.1,0,0.76804752
0.15,0.35,0.05,0.2,0.1,0.15,0,0.76801705
0.15,0.3,0.1,0.05,0.15,0.25,0,0.76794821
0.15,0.2,0.25,0.2,0.05,0.15,0,0.76790851
0.15,0.1,0.25,0.25,0.05,0.2,0,0.76780817
0.15,0.35,0.05,0.3,0.05,0.1,0,0.76767905
0.15,0.35,0.15,0.05,0.1,0.2,0,0.76764821
0.15,0.35,0.1,0.15,0.15,0.1,0,0.76748465
0.15,0.05,0.2,0.3,0.1,0.2,0,0.76746279
0.1,0.35,0.05,0.15,0.3,0.05,0,0.76746182
0.1,0.35,0.1,0.1,0.3,0.05,0,0.76725067
0.15,0.35,0.25,0.05,0.05,0.15,0,0.76721309
0.1,0.35,0.15,0.05,0.3,0.05,0,0.76714332
0.15,0.35,0.05,0.2,0.15,0.1,0,0.76673815
0.15,0.05,0.15,0.05,0.25,0.35,0,0.76620863
0.15,0.1,0.35,0.25,0.1,0.05,0,0.76620257
0.1,0.05,0.2,0.35,0.25,0.05,0,0.76605757
0.15,0.05,0.3,0.15,0.1,0.25,0,0.76596855
0.15,0.3,0.05,0.35,0.05,0.1,0,0.76541147
0.15,0.2,0.2,0.25,0.05,0.15,0,0.76519043
0.15,0.25,0.15,0.05,0.15,0.25,0,0.76515946
0.15,0.2,0.1,0.05,0.2,0.3,0,0.76508849
0.15,0.15,0.15,0.05,0.2,0.3,0,0.76496039
0.15,0.1,0.2,0.3,0.05,0.2,0,0.76425097
0.15,0.15,0.05,0.05,0.25,0.35,0,0.76375853
0.1,0.25,0.1,0.2,0.3,0.05,0,0.7633517
0.1,0.1,0.15,0.2,0.35,0.1,0,0.76312422
0.15,0.1,0.1,0.05,0.25,0.35,0,0.76304469
0.15,0.05,0.25,0.2,0.1,0.25,0,0.76249893
0.15,0.3,0.25,0.1,0.05,0.15,0,0.76246769
0.15,0.05,0.35,0.15,0.05,0.25,0,0.76222805
0.15,0.35,0.2,0.1,0.05,0.15,0,0.76199133
0.15,0.25,0.25,0.15,0.05,0.15,0,0.76146579
0.15,0.2,0.15,0.3,0.1,0.1,0,0.76126536
0.15,0.2,0.15,0.3,0.05,0.15,0,0.76076663
0.15,0.1,0.2,0.3,0.1,0.15,0,0.76058838
0.1,0.3,0.1,0.15,0.3,0.05,0,0.76054307
0.15,0.05,0.25,0.3,0.1,0.15,0,0.76041274
0.15,0.3,0.15,0.1,0.15,0.15,0,0.7603563
0.15,0.1,0.15,0.35,0.05,0.2,0,0.76015888
0.15,0.05,0.3,0.2,0.05,0.25,0,0.76006365
0.15,0.05,0.15,0.35,0.1,0.2,0,0.75968299
0.15,0.3,0.2,0.15,0.05,0.15,0,0.75963902
0.15,0.25,0.2,0.2,0.05,0.15,0,0.75959783
0.1,0.1,0.35,0.1,0.3,0.05,0,0.75942488
0.15,0.35,0.1,0.1,0.1,0.2,0,0.75928447
0.15,0.35,0.15,0.15,0.05,0.15,0,0.75879831
0.15,0.1,0.25,0.15,0.2,0.15,0,0.75859208
0.15,0.1,0.2,0.25,0.1,0.2,0,0.75852455
0.15,0.15,0.3,0.25,0.1,0.05,0,0.75833617
0.15,0.25,0.05,0.35,0.1,0.1,0,0.75831704
0.15,0.3,0.15,0.1,0.1,0.2,0,0.75826482
0.1,0.15,0.25,0.15,0.3,0.05,0,0.75816519
0.15,0.15,0.35,0.1,0.05,0.2,0,0.75806179
0.15,0.25,0.15,0.25,0.05,0.15,0,0.75802106
0.15,0.3,0.05,0.1,0.15,0.25,0,0.75794608
0.15,0.05,0.25,0.25,0.05,0.25,0,0.75778948
0.15,0.3,0.15,0.2,0.05,0.15,0,0.75750372
0.15,0.2,0.1,0.35,0.05,0.15,0,0.75737014
0.15,0.05,0.1,0.1,0.25,0.35,0,0.75732624
0.15,0.05,0.2,0.25,0.15,0.2,0,0.75732586
0.15,0.15,0.15,0.3,0.1,0.15,0,0.75718893
0.15,0.25,0.1,0.2,0.15,0.15,0,0.75687423
0.1,0.1,0.2,0.15,0.35,0.1,0,0.75668697
0.15,0.25,0.1,0.1,0.15,0.25,0,0.75635585
0.1,0.25,0.15,0.15,0.3,0.05,0,0.75629027
0.15,0.35,0.1,0.2,0.05,0.15,0,0.75624845
0.15,0.15,0.1,0.1,0.2,0.3,0,0.75603975
0.15,0.3,0.05,0.05,0.3,0.15,0,0.75582299
0.1,0.3,0.15,0.1,0.3,0.05,0,0.75579558
0.15,0.15,0.3,0.15,0.05,0.2,0,0.75577766
0.15,0.3,0.1,0.25,0.05,0.15,0,0.75571058
0.15,0.25,0.1,0.3,0.05,0.15,0,0.75563938
0.15,0.2,0.05,0.1,0.2,0.3,0,0.75549154
0.1,0.2,0.2,0.15,0.3,0.05,0,0.75517312
0.15,0.2,0.05,0.05,0.35,0.2,0,0.75512779
0.15,0.2,0.1,0.35,0.1,0.1,0,0.7550977
0.15,0.25,0.15,0.15,0.1,0.2,0,0.75508448
0.15,0.05,0.2,0.3,0.05,0.25,0,0.75485497
0.1,0.05,0.3,0.15,0.35,0.05,0,0.75475305
0.15,0.1,0.2,0.25,0.15,0.15,0,0.7547406
0.15,0.2,0.1,0.3,0.1,0.15,0,0.75460903
0.15,0.1,0.1,0.15,0.2,0.3,0,0.75439626
0.15,0.3,0.05,0.05,0.15,0.3,0,0.75411856
0.15,0.15,0.25,0.2,0.05,0.2,0,0.75411024
0.15,0.3,0.05,0.3,0.05,0.15,0,0.754108
0.15,0.1,0.05,0.1,0.25,0.35,0,0.75407798
0.15,0.1,0.15,0.35,0.1,0.15,0,0.75403711
0.15,0.35,0.05,0.25,0.05,0.15,0,0.7539924
0.1,0.15,0.1,0.2,0.35,0.1,0,0.75395716
0.15,0.35,0.05,0.15,0.1,0.2,0,0.75393264
0.15,0.3,0.1,0.15,0.1,0.2,0,0.75372524
0.15,0.15,0.2,0.3,0.1,0.1,0,0.75358234
0.15,0.05,0.3,0.3,0.1,0.1,0,0.75346652
0.15,0.05,0.2,0.05,0.2,0.35,0,0.75331634
0.15,0.25,0.05,0.35,0.05,0.15,0,0.75324808
0.15,0.05,0.05,0.25,0.2,0.3,0,0.75306352
0.15,0.35,0.1,0.05,0.1,0.25,0,0.75302119
0.15,0.15,0.1,0.35,0.1,0.15,0,0.75281613
0.15,0.2,0.1,0.25,0.1,0.2,0,0.75274547
0.15,0.25,0.3,0.05,0.05,0.2,0,0.75272898
0.15,0.05,0.35,0.3,0.1,0.05,0,0.75264815
0.15,0.3,0.1,0.05,0.25,0.15,0,0.75261027
0.15,0.2,0.1,0.15,0.15,0.25,0,0.75240467
0.15,0.2,0.05,0.25,0.15,0.2,0,0.75234795
0.15,0.05,0.05,0.15,0.25,0.35,0,0.75229431
0.15,0.05,0.2,0.35,0.1,0.15,0,0.75208701
0.15,0.15,0.2,0.25,0.05,0.2,0,0.75207681
0.15,0.25,0.1,0.2,0.1,0.2,0,0.7519346
0.15,0.35,0.2,0.05,0.05,0.2,0,0.75175347
0.15,0.05,0.2,0.25,0.1,0.25,0,0.75171436
0.15,0.05,0.15,0.35,0.05,0.25,0,0.75157509
0.15,0.15,0.15,0.25,0.1,0.2,0,0.75154442
0.15,0.05,0.2,0.15,0.25,0.2,0,0.75141329
0.15,0.3,0.25,0.05,0.05,0.2,0,0.75139884
0.15,0.25,0.05,0.15,0.15,0.25,0,0.75097402
0.15,0.1,0.15,0.3,0.1,0.2,0,0.75091768
0.15,0.15,0.05,0.15,0.2,0.3,0,0.75079577
0.15,0.2,0.3,0.1,0.05,0.2,0,0.75079075
0.15,0.2,0.05,0.35,0.1,0.15,0,0.75075735
0.15,0.2,0.05,0.3,0.1,0.2,0,0.75058046
0.15,0.25,0.1,0.35,0.1,0.05,0,0.75043257
0.15,0.1,0.05,0.2,0.2,0.3,0,0.75039954
0.15,0.15,0.2,0.05,0.15,0.3,0,0.75014866
0.15,0.3,0.05,0.2,0.1,0.2,0,0.75005248
0.15,0.1,0.25,0.3,0.1,0.1,0,0.74990788
0.15,0.3,0.15,0.05,0.1,0.25,0,0.74989055
0.15,0.25,0.1,0.05,0.15,0.3,0,0.74976465
0.15,0.2,0.05,0.05,0.2,0.35,0,0.74969594
0.15,0.05,0.2,0.15,0.15,0.3,0,0.74965572
0.1,0.15,0.3,0.1,0.3,0.05,0,0.74961103
0.15,0.25,0.2,0.05,0.1,0.25,0,0.74928505
0.1,0.25,0.2,0.1,0.3,0.05,0,0.74924175
0.15,0.15,0.05,0.25,0.15,0.25,0,0.74919259
0.15,0.25,0.05,0.25,0.1,0.2,0,0.74917605
0.15,0.15,0.15,0.3,0.05,0.2,0,0.74912469
0.15,0.1,0.15,0.05,0.2,0.35,0,0.74892546
0.15,0.1,0.1,0.25,0.2,0.2,0,0.74874035
0.15,0.15,0.25,0.1,0.1,0.25,0,0.74860794
0.15,0.2,0.15,0.05,0.15,0.3,0,0.74856076
