Mo,Nb,Ta,V,W,FCC_L12,BCC_B2
0.25,0.25,0.2,0.1,0.2,0,0.82068439
0.25,0.3,0.15,0.1,0.2,0,0.81985345
0.25,0.35,0.1,0.1,0.2,0,0.81981116
0.2,0.2,0.25,0.1,0.25,0,0.81676974
0.05,0.2,0.25,0.2,0.3,0,0.81664836
0.15,0.15,0.35,0.15,0.2,0,0.81614505
0.05,0.25,0.3,0.25,0.15,0,0.81327063
0.2,0.25,0.2,0.1,0.25,0,0.81212025
0.3,0.35,0.05,0.1,0.2,0,0.81176789
0.3,0.05,0.35,0.1,0.2,0,0.81112947
0.3,0.3,0.1,0.1,0.2,0,0.80987874
0.2,0.3,0.15,0.1,0.25,0,0.80973557
0.15,0.25,0.2,0.1,0.3,0,0.80926944
0.3,0.25,0.15,0.1,0.2,0,0.80817095
0.3,0.1,0.3,0.1,0.2,0,0.80762599
0.3,0.2,0.2,0.1,0.2,0,0.80690006
0.3,0.15,0.25,0.1,0.2,0,0.80649847
0.1,0.15,0.3,0.15,0.3,0,0.80546695
0.25,0.05,0.35,0.1,0.25,0,0.80380257
0.35,0.3,0.05,0.1,0.2,0,0.80313849
0.2,0.15,0.35,0.15,0.15,0,0.80131738
0.35,0.25,0.1,0.1,0.2,0,0.79999503
0.15,0.35,0.1,0.1,0.3,0,0.79934212
0.25,0.35,0.05,0.1,0.25,0,0.79867511
0.05,0.2,0.3,0.25,0.2,0,0.79722653
0.35,0.2,0.15,0.1,0.2,0,0.796821
0.25,0.1,0.3,0.1,0.25,0,0.79660043
0.25,0.3,0.1,0.1,0.25,0,0.79627291
0.25,0.25,0.15,0.1,0.25,0,0.79421615
0.35,0.15,0.2,0.1,0.2,0,0.79392455
0.25,0.15,0.25,0.1,0.25,0,0.79339703
0.25,0.2,0.2,0.1,0.25,0,0.7929864
0.35,0.1,0.25,0.1,0.2,0,0.79189519
0.35,0.05,0.3,0.1,0.2,0,0.79169393
0.2,0.1,0.3,0.1,0.3,0,0.79038294
0.2,0.2,0.3,0.15,0.15,0,0.79021055
0.3,0.3,0.05,0.1,0.25,0,0.78866172
0.2,0.35,0.05,0.1,0.3,0,0.78497276
0.15,0.1,0.35,0.15,0.25,0,0.7849391
0.3,0.25,0.1,0.1,0.25,0,0.78442409
0.2,0.15,0.25,0.1,0.3,0,0.78246957
0.2,0.3,0.1,0.1,0.3,0,0.78215356
0.3,0.2,0.15,0.1,0.25,0,0.78018221
0.2,0.25,0.15,0.1,0.3,0,0.78007278
0.35,0.25,0.05,0.1,0.25,0,0.77785369
0.3,0.15,0.2,0.1,0.25,0,0.77653552
0.3,0.05,0.3,0.1,0.25,0,0.77611022
0.3,0.1,0.25,0.1,0.25,0,0.77462313
0.25,0.3,0.05,0.1,0.3,0,0.77361501
0.05,0.15,0.3,0.25,0.25,0,0.7732386
0.1,0.2,0.35,0.25,0.1,0,0.77287681
0.35,0.2,0.1,0.1,0.25,0,0.77183555
0.25,0.25,0.1,0.1,0.3,0,0.76808203
0.1,0.2,0.25,0.15,0.3,0,0.76672339
0.35,0.15,0.15,0.1,0.25,0,0.76565321
0.05,0.15,0.25,0.2,0.35,0,0.76416272
0.25,0.05,0.3,0.1,0.3,0,0.76266113
0.3,0.25,0.05,0.1,0.3,0,0.76151
0.35,0.1,0.2,0.1,0.25,0,0.76024169
0.05,0.25,0.2,0.2,0.3,0,0.75851075
0.25,0.15,0.2,0.1,0.3,0,0.7584911
0.25,0.1,0.25,0.1,0.3,0,0.75765686
0.35,0.05,0.25,0.1,0.25,0,0.7574466
0.1,0.35,0.2,0.2,0.15,0,0.75415052
0.3,0.2,0.1,0.1,0.3,0,0.75356725
0.05,0.35,0.2,0.25,0.15,0,0.75146678
0.15,0.35,0.2,0.2,0.1,0,0.75032487
0.1,0.25,0.3,0.25,0.1,0,0.74849725
0.1,0.15,0.35,0.25,0.15,0,0.74811812
0.35,0.2,0.05,0.1,0.3,0,0.7475734
0.3,0.15,0.15,0.1,0.3,0,0.7455138
0.1,0.25,0.25,0.2,0.2,0,0.74551263
0.15,0.2,0.3,0.2,0.15,0,0.7444965
0.05,0.1,0.35,0.3,0.2,0,0.74271584
0.2,0.35,0.1,0.15,0.2,0,0.74156341
0.3,0.1,0.2,0.1,0.3,0,0.7391402
0.3,0.05,0.25,0.1,0.3,0,0.73769395
0.35,0.15,0.1,0.1,0.3,0,0.73704831
0.2,0.05,0.35,0.15,0.25,0,0.73663926
0.1,0.05,0.35,0.2,0.3,0,0.73573255
0.1,0.25,0.2,0.15,0.3,0,0.73471848
0.05,0.2,0.05,0.35,0.35,0,0.7311513
0.15,0.25,0.25,0.2,0.15,0,0.73012999
0.05,0.3,0.2,0.25,0.2,0,0.72723603
0.15,0.3,0.15,0.15,0.25,0,0.72708145
0.05,0.3,0.25,0.3,0.1,0,0.72683379
0.35,0.1,0.15,0.1,0.3,0,0.72666408
0.15,0.15,0.35,0.25,0.1,0,0.72528129
0.1,0.3,0.2,0.2,0.2,0,0.72268247
0.1,0.2,0.3,0.25,0.15,0,0.72136634
0.35,0.05,0.2,0.1,0.3,0,0.7195862
0.15,0.3,0.2,0.2,0.15,0,0.7193923
0.1,0.1,0.35,0.25,0.2,0,0.71863843
0.05,0.15,0.35,0.35,0.1,0,0.71792513
0.05,0.05,0.35,0.3,0.25,0,0.71388167
0.1,0.3,0.15,0.15,0.3,0,0.71315301
0.2,0.2,0.2,0.15,0.25,0,0.71058831
0.05,0.25,0.25,0.3,0.15,0,0.70454756
0.1,0.35,0.15,0.2,0.2,0,0.70453689
0.1,0.15,0.25,0.15,0.35,0,0.7035542
